flow rate(l/min),Pressure_ci,Pressure_hi,coldfluid_Pd,hotfluid_Pd,Ci_temp,co_temp,hi_temp,ho_temp,Density,HT_Coefficient
300.0, 0.08, 0.06, 9.0, 6.0, 315.24, 360.22, 368.96, 321.1, 912.0, 0.8900000000000005
301.0, 0.0806, 0.0606, 9.06, 6.06, 315.23, 360.21, 368.95, 321.09, 912.01, 0.8900000000000005
302.0, 0.0812, 0.0612, 9.12, 6.12, 315.22, 360.2, 368.94, 321.08, 912.02, 0.8900000000000005
303.0, 0.0818, 0.0618, 9.18, 6.18, 315.21, 360.19, 368.93, 321.07, 912.03, 0.8900000000000005
304.0, 0.0824, 0.0624, 9.24, 6.24, 315.2, 360.18, 368.92, 321.06, 912.04, 0.8900000000000005
305.0, 0.083, 0.063, 9.3, 6.3, 315.19, 360.17, 368.91, 321.05, 912.05, 0.8900000000000005
306.0, 0.0836, 0.0636, 9.36, 6.36, 315.18, 360.16, 368.9, 321.04, 912.06, 0.8900000000000005
307.0, 0.0842, 0.0642, 9.42, 6.42, 315.17, 360.15, 368.89, 321.03, 912.07, 0.8900000000000005
308.0, 0.0848, 0.0648, 9.48, 6.48, 315.16, 360.14, 368.88, 321.02, 912.08, 0.8900000000000005
309.0, 0.0854, 0.0654, 9.54, 6.54, 315.15, 360.13, 368.87, 321.01, 912.09, 0.8900000000000001
310.0, 0.086, 0.066, 9.6, 6.6, 315.14, 360.12, 368.86, 321.0, 912.1, 0.8900000000000001
311.0, 0.0866, 0.0666, 9.66, 6.66, 315.13, 360.11, 368.85, 320.99, 912.11, 0.8900000000000001
312.0, 0.0872, 0.0672, 9.72, 6.72, 315.12, 360.1, 368.84, 320.98, 912.12, 0.8900000000000001
313.0, 0.0878, 0.0678, 9.78, 6.78, 315.11, 360.09, 368.83, 320.97, 912.13, 0.8900000000000001
314.0, 0.0884, 0.0684, 9.84, 6.84, 315.1, 360.08, 368.82, 320.96, 912.14, 0.8900000000000001
315.0, 0.08900000000000001, 0.069, 9.9, 6.9, 315.09, 360.07, 368.81, 320.95, 912.15, 0.8900000000000001
316.0, 0.0896, 0.0696, 9.96, 6.96, 315.08, 360.06, 368.8, 320.94, 912.16, 0.8900000000000001
317.0, 0.0902, 0.0702, 10.02, 7.02, 315.07, 360.05, 368.79, 320.93, 912.17, 0.8900000000000001
318.0, 0.0908, 0.0708, 10.08, 7.08, 315.06, 360.04, 368.78, 320.92, 912.18, 0.8900000000000001
319.0, 0.0914, 0.0714, 10.14, 7.14, 315.05, 360.03, 368.77, 320.91, 912.19, 0.8900000000000001
320.0, 0.092, 0.07200000000000001, 10.2, 7.2, 315.04, 360.02, 368.76, 320.9, 912.2, 0.8900000000000001
321.0, 0.0926, 0.0726, 10.26, 7.26, 315.03, 360.01, 368.75, 320.89, 912.21, 0.8900000000000001
322.0, 0.0932, 0.0732, 10.32, 7.32, 315.02, 360.0, 368.74, 320.88, 912.22, 0.8900000000000001
323.0, 0.0938, 0.0738, 10.38, 7.38, 315.01, 359.99, 368.73, 320.87, 912.23, 0.8900000000000001
324.0, 0.0944, 0.0744, 10.44, 7.44, 315.0, 359.98, 368.72, 320.86, 912.24, 0.8900000000000001
325.0, 0.095, 0.075, 10.5, 7.5, 314.99, 359.97, 368.71, 320.85, 912.25, 0.8900000000000001
326.0, 0.0956, 0.0756, 10.56, 7.56, 314.98, 359.96, 368.7, 320.84, 912.26, 0.8899999999999999
327.0, 0.0962, 0.0762, 10.62, 7.62, 314.97, 359.95, 368.69, 320.83, 912.27, 0.8899999999999999
328.0, 0.0968, 0.0768, 10.68, 7.68, 314.96, 359.94, 368.68, 320.82, 912.28, 0.8899999999999999
329.0, 0.0974, 0.0774, 10.74, 7.74, 314.95, 359.93, 368.67, 320.81, 912.29, 0.8899999999999999
330.0, 0.098, 0.078, 10.8, 7.8, 314.94, 359.92, 368.66, 320.8, 912.3, 0.8899999999999999
331.0, 0.0986, 0.0786, 10.86, 7.86, 314.93, 359.91, 368.65, 320.79, 912.31, 0.8899999999999999
332.0, 0.0992, 0.0792, 10.92, 7.92, 314.92, 359.9, 368.64, 320.78, 912.32, 0.8899999999999999
333.0, 0.0998, 0.0798, 10.98, 7.98, 314.91, 359.89, 368.63, 320.77, 912.33, 0.8899999999999999
334.0, 0.1004, 0.0804, 11.04, 8.04, 314.9, 359.88, 368.62, 320.76, 912.34, 0.8905173898209
335.0, 0.10099999999999999, 0.081, 11.1, 8.1, 314.89, 359.87, 368.61, 320.75, 912.35, 0.8905173898209
336.0, 0.1016, 0.0816, 11.16, 8.16, 314.88, 359.86, 368.6, 320.74, 912.36, 0.8905173898209
337.0, 0.1022, 0.0822, 11.22, 8.22, 314.87, 359.85, 368.59, 320.73, 912.37, 0.8905173898209
338.0, 0.1028, 0.0828, 11.28, 8.28, 314.86, 359.84, 368.58, 320.72, 912.38, 0.8905173898209
339.0, 0.1034, 0.0834, 11.34, 8.34, 314.85, 359.83, 368.57, 320.71, 912.39, 0.8905173898209
340.0, 0.10400000000000001, 0.084, 11.4, 8.4, 314.84, 359.82, 368.56, 320.7, 912.4, 0.8905173898209
341.0, 0.1046, 0.0846, 11.46, 8.46, 314.83, 359.81, 368.55, 320.69, 912.41, 0.8905173898209
342.0, 0.1052, 0.0852, 11.52, 8.52, 314.82, 359.8, 368.54, 320.68, 912.42, 0.8905173898209
343.0, 0.1058, 0.0858, 11.58, 8.58, 314.81, 359.79, 368.53, 320.67, 912.43, 0.8905173898209
344.0, 0.1064, 0.0864, 11.64, 8.64, 314.8, 359.78, 368.52, 320.66, 912.44, 0.8905173898209
345.0, 0.107, 0.087, 11.7, 8.7, 314.79, 359.77, 368.51, 320.65, 912.45, 0.8905173898209
346.0, 0.1076, 0.0876, 11.76, 8.76, 314.78, 359.76, 368.5, 320.64, 912.46, 0.8905173898209
347.0, 0.1082, 0.0882, 11.82, 8.82, 314.77, 359.75, 368.49, 320.63, 912.47, 0.8905173898209
348.0, 0.1088, 0.0888, 11.88, 8.88, 314.76, 359.74, 368.48, 320.62, 912.48, 0.8905173898209
349.0, 0.1094, 0.0894, 11.94, 8.94, 314.75, 359.73, 368.47, 320.61, 912.49, 0.8905173898209
350.0, 0.11, 0.09, 12.0, 9.0, 314.74, 359.72, 368.46, 320.6, 912.5, 0.8905173898209
351.0, 0.1106, 0.0906, 12.06, 9.06, 314.73, 359.71, 368.45, 320.59, 912.51, 0.8905637780638727
352.0, 0.1112, 0.0912, 12.12, 9.12, 314.72, 359.7, 368.44, 320.58, 912.52, 0.8905637780638727
353.0, 0.1118, 0.0918, 12.18, 9.18, 314.71, 359.69, 368.43, 320.57, 912.53, 0.8905637780638729
354.0, 0.1124, 0.0924, 12.24, 9.24, 314.7, 359.68, 368.42, 320.56, 912.54, 0.8905637780638729
355.0, 0.113, 0.09300000000000001, 12.3, 9.3, 314.69, 359.67, 368.41, 320.55, 912.55, 0.8905637780638729
356.0, 0.1136, 0.0936, 12.36, 9.36, 314.68, 359.66, 368.4, 320.54, 912.56, 0.8905637780638729
357.0, 0.1142, 0.0942, 12.42, 9.42, 314.67, 359.65, 368.39, 320.53, 912.57, 0.8905637780638729
358.0, 0.1148, 0.0948, 12.48, 9.48, 314.66, 359.64, 368.38, 320.52, 912.58, 0.8905637780638729
359.0, 0.1154, 0.0954, 12.54, 9.54, 314.65, 359.63, 368.37, 320.51, 912.59, 0.8905637780638729
360.0, 0.11599999999999999, 0.096, 12.6, 9.6, 314.64, 359.62, 368.36, 320.5, 912.6, 0.8905637780638729
361.0, 0.1166, 0.0966, 12.66, 9.66, 314.63, 359.61, 368.35, 320.49, 912.61, 0.8905637780638729
362.0, 0.1172, 0.0972, 12.72, 9.72, 314.62, 359.6, 368.34, 320.48, 912.62, 0.8905637780638729
363.0, 0.1178, 0.0978, 12.78, 9.78, 314.61, 359.59, 368.33, 320.47, 912.63, 0.8905637780638729
364.0, 0.1184, 0.0984, 12.84, 9.84, 314.6, 359.58, 368.32, 320.46, 912.64, 0.8905637780638729
365.0, 0.11900000000000001, 0.099, 12.9, 9.9, 314.59, 359.57, 368.31, 320.45, 912.65, 0.889732783365514
366.0, 0.1196, 0.0996, 12.96, 9.96, 314.58, 359.56, 368.3, 320.44, 912.66, 0.889732783365514
367.0, 0.1202, 0.1002, 13.02, 10.02, 314.57, 359.55, 368.29, 320.43, 912.67, 0.889732783365514
368.0, 0.1208, 0.1008, 13.08, 10.08, 314.56, 359.54, 368.28, 320.42, 912.68, 0.889732783365514
