thi, fhi, fci, U
41.0, 65.0, 100.0, 0.1821029613679068
42.0, 68.0, 105.0, 0.18185697757369657
43.0, 71.0, 110.0, 0.18404935104301737
44.0, 74.0, 115.0, 0.18405771824773276
45.0, 77.0, 120.0, 0.18405771824773276
46.0, 80.0, 125.0, 0.18405771824773276
47.0, 83.0, 130.0, 0.24697427280413106
48.0, 86.0, 135.0, 0.2469693345007785
49.0, 89.0, 140.0, 0.2469693345007785
50.0, 92.0, 145.0, 0.24698325210932295
51.0, 95.0, 150.0, 0.24698325210932295
52.0, 98.0, 155.0, 0.271512631266165
53.0, 101.0, 160.0, 0.271512631266165
54.0, 104.0, 165.0, 0.27155476647758725
55.0, 107.0, 170.0, 0.27155476647758725
56.0, 110.0, 175.0, 0.27155476647758725
57.0, 113.0, 180.0, 0.2713260621068773
58.0, 116.0, 185.0, 0.2713260621068773
59.0, 119.0, 190.0, 0.2713260621068773
60.0, 122.0, 195.0, 0.2713804643598569
61.0, 125.0, 200.0, 0.2713804643598569
62.0, 128.0, 205.0, 0.2700829570427111
63.0, 131.0, 210.0, 0.271129915977343
64.0, 134.0, 215.0, 0.27115052639713283
65.0, 137.0, 220.0, 0.27115052639713283
66.0, 140.0, 225.0, 0.27115052639713283
67.0, 143.0, 230.0, 0.27139569946649345
68.0, 146.0, 235.0, 0.27139569946649345
69.0, 149.0, 240.0, 0.27139569946649345
70.0, 152.0, 245.0, 0.27139569946649345
41.0, 65.0, 200.0, 0.19429057468621266
42.0, 68.0, 205.0, 0.1943216868781214
43.0, 71.0, 210.0, 0.19513306183733287
44.0, 74.0, 215.0, 0.19513155202261717
45.0, 77.0, 220.0, 0.19513155202261717
46.0, 80.0, 225.0, 0.19513155202261717
47.0, 83.0, 230.0, 0.2759614197140247
48.0, 86.0, 235.0, 0.2759614197140247
49.0, 89.0, 240.0, 0.2759614197140247
50.0, 92.0, 245.0, 0.2759613817455547
51.0, 95.0, 250.0, 0.2759613817455547
52.0, 98.0, 255.0, 0.3290960548295857
53.0, 101.0, 260.0, 0.3290960548295857
54.0, 104.0, 265.0, 0.3290808317790629
55.0, 107.0, 270.0, 0.3290808317790629
56.0, 110.0, 275.0, 0.3290808317790629
57.0, 113.0, 280.0, 0.2873395308075585
58.0, 116.0, 285.0, 0.2873395308075585
59.0, 119.0, 290.0, 0.2873395308075585
60.0, 122.0, 295.0, 0.2873031855962536
61.0, 125.0, 300.0, 0.2873031855962536
62.0, 128.0, 305.0, 0.2872994566947021
63.0, 131.0, 310.0, 0.2873261687064725
64.0, 134.0, 315.0, 0.2873284288605036
65.0, 137.0, 320.0, 0.2873284288605036
66.0, 140.0, 325.0, 0.2873284288605036
67.0, 143.0, 330.0, 0.28733332147759993
68.0, 146.0, 335.0, 0.28733332147759993
69.0, 149.0, 340.0, 0.28733332147759993
