flow rate(l/min),Pressure_ci,Pressure_hi,coldfluid_Pd,hotfluid_Pd,Ci_temp,co_temp,hi_temp,ho_temp,Density,HT_Coefficient
664.0, 0.3284, 0.2684, 40.84, 35.84, 314.02, 360.6, 368.58, 317.94, 912.14, 0.9299999999999995
666.0, 0.3096, 0.2696, 36.96, 32.96, 311.66, 360.55, 368.29, 316.19, 913.16, 0.9284858464914172
669.0, 0.3114, 0.2714, 37.14, 33.14, 311.63, 360.52, 368.26, 316.16, 913.19, 0.9270541251915547
709.0, 0.3354, 0.2954, 39.54, 35.54, 311.23, 360.12, 367.86, 315.76, 913.59, 0.9266567912620671
680.0, 0.3352, 0.2952, 36.52, 32.52, 312.49, 360.41, 368.04, 316.94, 912.92, 0.9251510357504777
659.0, 0.3054, 0.2554, 36.54, 32.54, 313.99, 351.97, 357.77, 317.9, 921.09, 0.9245886652194022
684.0, 0.3204, 0.2704, 38.04, 34.04, 313.74, 351.72, 357.52, 317.65, 921.34, 0.9231569439195395
709.0, 0.3354, 0.2854, 39.54, 35.54, 313.49, 351.47, 357.27, 317.4, 921.59, 0.9227596099900524
655.0, 0.3202, 0.2702, 38.02, 35.02, 315.88, 352.49, 358.16, 319.63, 920.67, 0.9219011205442456
650.0, 0.3, 0.26, 36.0, 32.0, 311.82, 360.71, 368.45, 316.35, 913.0, 0.9207396797588634
588.0, 0.28, 0.24, 31.0, 27.0, 313.41, 361.33, 368.96, 317.86, 912.0, 0.9199999999999995
667.0, 0.3002, 0.2602, 34.02, 30.02, 311.03, 351.38, 357.02, 315.68, 921.67, 0.9185336903682195
684.0, 0.3104, 0.2704, 35.04, 31.04, 310.86, 351.21, 356.85, 315.51, 921.84, 0.9175114443727834
617.0, 0.2702, 0.2502, 28.02, 25.02, 309.18, 357.77, 365.74, 314.78, 914.17, 0.915597422824961
620.0, 0.2992, 0.2492, 35.92, 32.92, 316.23, 352.84, 358.51, 319.98, 920.32, 0.9136300469500687
621.0, 0.2726, 0.2426, 32.26, 29.26, 310.72, 360.17, 367.67, 315.79, 913.21, 0.9122608124717764
616.0, 0.2968, 0.2468, 35.68, 32.68, 316.27, 352.88, 358.55, 320.02, 920.28, 0.9113824310807237
559.0, 0.2354, 0.2154, 24.54, 21.54, 309.76, 358.35, 366.32, 315.36, 913.59, 0.9100019688968304
501.0, 0.2006, 0.1706, 25.06, 22.06, 311.92, 361.37, 368.87, 316.99, 912.01, 0.9099999999999995
692.0, 0.3152, 0.2752, 34.52, 32.52, 314.26, 342.74, 346.96, 317.58, 929.52, 0.9088390819205021
659.0, 0.3054, 0.2554, 36.54, 32.54, 315.01, 343.43, 347.62, 318.35, 928.69, 0.9078277085316353
676.0, 0.3056, 0.2656, 34.56, 32.56, 310.75, 333.66, 337.14, 313.79, 936.86, 0.9066667904521373
622.0, 0.3004, 0.2504, 35.04, 33.04, 312.65, 335.0, 338.46, 315.23, 935.44, 0.9055421326554667
476.0, 0.1956, 0.1656, 22.56, 20.56, 312.18, 350.32, 357.07, 317.54, 921.76, 0.90492028469325
622.0, 0.2632, 0.2432, 28.32, 26.32, 311.91, 341.89, 346.76, 315.63, 929.82, 0.902886918502569
614.0, 0.2956, 0.2456, 34.56, 32.56, 312.73, 335.08, 338.54, 315.31, 935.36, 0.9014942960734009
428.0, 0.1568, 0.1368, 16.68, 13.68, 313.96, 358.94, 367.68, 319.82, 913.28, 0.9000000000000004
501.0, 0.2006, 0.1606, 23.06, 21.06, 316.17, 344.65, 348.87, 319.49, 927.61, 0.8999999999999996
384.0, 0.1304, 0.1104, 14.04, 11.04, 314.4, 359.38, 368.12, 320.26, 912.84, 0.8981499999999975
384.0, 0.1404, 0.1104, 17.04, 15.04, 313.1, 351.24, 357.99, 318.46, 920.84, 0.897483333333329
