flow rate(l/min),Pressure_ci,Pressure_hi,coldfluid_Pd,hotfluid_Pd,Ci_temp,co_temp,hi_temp,ho_temp,Density,HT_Coefficient
709.0, 0.3254, 0.2954, 37.54, 34.54, 309.84, 359.29, 366.79, 314.91, 914.09, 0.9270541251915547
710.0, 0.326, 0.29600000000000004, 37.6, 34.6, 309.83, 359.28, 366.78, 314.9, 914.1, 0.9270541251915547
742.0, 0.3452, 0.3152, 39.52, 36.52, 309.51, 358.96, 366.46, 314.58, 914.42, 0.9266567912620671
743.0, 0.3458, 0.3158, 39.58, 36.58, 309.5, 358.95, 366.45, 314.57, 914.43, 0.9266567912620671
728.0, 0.3368, 0.3068, 38.68, 35.68, 309.65, 359.1, 366.6, 314.72, 914.28, 0.9251510357504777
729.0, 0.3374, 0.3074, 38.74, 35.74, 309.64, 359.09, 366.59, 314.71, 914.29, 0.9251510357504777
586.0, 0.2616, 0.2216, 32.16, 28.16, 312.46, 361.35, 369.09, 316.99, 912.36, 0.9199999999999995
587.0, 0.2622, 0.2222, 32.22, 28.22, 312.45, 361.34, 369.08, 316.98, 912.37, 0.9199999999999995
636.0, 0.2916, 0.2516, 35.16, 31.16, 311.96, 360.85, 368.59, 316.49, 912.86, 0.9178562663999066
637.0, 0.2922, 0.2522, 35.22, 31.22, 311.95, 360.84, 368.58, 316.48, 912.87, 0.9178562663999066
610.0, 0.2932, 0.2532, 32.32, 28.32, 313.19, 361.11, 368.74, 317.64, 912.22, 0.915597422824961
611.0, 0.2938, 0.2538, 32.38, 28.38, 313.18, 361.1, 368.73, 317.63, 912.23, 0.915597422824961
612.0, 0.2944, 0.2544, 32.44, 28.44, 313.17, 361.09, 368.72, 317.62, 912.24, 0.915597422824961
565.0, 0.239, 0.21899999999999997, 24.9, 21.9, 309.7, 358.29, 366.26, 315.3, 913.65, 0.9100019688968304
566.0, 0.2396, 0.2196, 24.96, 21.96, 309.69, 358.28, 366.25, 315.29, 913.66, 0.9100019688968304
567.0, 0.2402, 0.2202, 25.02, 22.02, 309.68, 358.27, 366.24, 315.28, 913.67, 0.9100019688968304
617.0, 0.2802, 0.2402, 34.02, 30.02, 312.15, 361.04, 368.78, 316.68, 912.67, 0.9100019688968304
618.0, 0.2808, 0.2408, 34.08, 30.08, 312.14, 361.03, 368.77, 316.67, 912.68, 0.9100019688968304
619.0, 0.2814, 0.2414, 34.14, 30.14, 312.13, 361.02, 368.76, 316.66, 912.69, 0.9100019688968304
620.0, 0.282, 0.242, 34.2, 30.2, 312.12, 361.01, 368.75, 316.65, 912.7, 0.9122608124717764
515.0, 0.209, 0.18899999999999997, 21.9, 18.9, 313.09, 358.07, 366.81, 318.95, 914.15, 0.9064369513599169
516.0, 0.2096, 0.1896, 21.96, 18.96, 313.08, 358.06, 366.8, 318.94, 914.16, 0.9064369513599169
517.0, 0.2102, 0.1902, 22.02, 19.02, 313.07, 358.05, 366.79, 318.93, 914.17, 0.9064369513599169
518.0, 0.2108, 0.1908, 22.08, 19.08, 313.06, 358.04, 366.78, 318.92, 914.18, 0.9064369513599169
519.0, 0.2114, 0.1914, 22.14, 19.14, 313.05, 358.03, 366.77, 318.91, 914.19, 0.9064369513599169
520.0, 0.212, 0.192, 22.2, 19.2, 313.04, 358.02, 366.76, 318.9, 914.2, 0.9064369513599169
543.0, 0.2258, 0.1858, 23.58, 21.58, 312.17, 351.45, 357.43, 317.0, 921.43, 0.9049202846932498
544.0, 0.2264, 0.1864, 23.64, 21.64, 312.16, 351.44, 357.42, 316.99, 921.44, 0.9049202846932498
503.0, 0.2018, 0.1618, 24.18, 20.18, 312.67, 353.02, 358.66, 317.32, 920.03, 0.9000000000000005
504.0, 0.2024, 0.1624, 24.24, 20.24, 312.66, 353.01, 358.65, 317.31, 920.04, 0.9000000000000005

